종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2530","105","4.33","2400","2660","2400","3118284","8050414245","122797704260","48536642"
"095570","AJ네트웍스","KOSPI",,"4700","110","2.40","4540","4750","4440","412764","1891514645","212687967300","45252759"
"006840","AK홀딩스","KOSPI",,"17150","-220","-1.27","17590","17590","17150","6435","110624830","227195671150","13247561"
"054620","APS","KOSDAQ","중견기업부","6560","230","3.63","6330","6750","6330","63286","414500260","133786089760","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","22600","1200","5.61","22600","25250","22400","3643587","86902624500","345360114600","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","13150","220","1.70","12890","13260","12890","100143","1312960160","198332297600","15082304"
"027410","BGF","KOSPI",,"3960","200","5.32","3750","3970","3710","526434","2053861385","379038492360","95716791"
"282330","BGF리테일","KOSPI",,"134200","-600","-0.45","135300","136000","133300","51987","6973162900","2319500185200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4400","40","0.92","4385","4440","4365","154962","680748975","237746410000","54033275"
"138930","BNK금융지주","KOSPI",,"7150","0","0.00","7180","7200","7150","1138015","8158206050","2302932331700","322088438"
"001460","BYC","KOSPI",,"417000","500","0.12","419000","426500","414500","21","8809500","260464455000","624615"
"001465","BYC우","KOSPI",,"140000","-100","-0.07","139900","140300","139500","268","37411200","30153900000","215385"
"013720","CBI","KOSDAQ","중견기업부","2150","-50","-2.27","2205","2275","2010","1927621","4238539920","87466532200","40682108"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2505","-15","-0.60","2520","2595","2505","84528","214117375","192619925910","76894182"
"001040","CJ","KOSPI",,"96100","-700","-0.72","96800","96800","93700","112727","10715027300","2803909507800","29176998"
"079160","CJ CGV","KOSPI",,"5680","40","0.71","5640","5720","5580","825029","4672664390","695410232720","122431379"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","74900","-100","-0.13","75000","75200","73000","101511","7531969000","1642493634600","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","14700","-590","-3.86","15290","15550","14690","30770","461446480","133953779400","9112502"
"00104K","CJ4우(전환)","KOSPI",,"69600","-2400","-3.33","72000","72900","68800","17432","1222535900","294165235200","4226512"
"000120","CJ대한통운","KOSPI",,"118200","-3600","-2.96","121100","121700","113700","283258","33168082500","2696419060800","22812344"
"011150","CJ씨푸드","KOSPI",,"2925","30","1.04","2895","2925","2890","75863","220191265","105097511025","35930773"
"011155","CJ씨푸드1우","KOSPI",,"23850","550","2.36","23000","24150","22650","1596","37357350","4770000000","200000"
"001045","CJ우","KOSPI",,"52500","-200","-0.38","52700","52700","52400","1992","104577400","118661707500","2260223"
"097950","CJ제일제당","KOSPI",,"318500","0","0.00","316000","320000","313000","34572","10942670000","4794758241000","15054186"
"097955","CJ제일제당 우","KOSPI",,"133100","-3000","-2.20","136400","137300","133100","5446","729135500","176681332300","1327433"
